room,dist,aggro,wall,action
3,614.7,0,0,wander
3,614.673,0,0,wander
3,614.659,0,0,wander
3,614.648,0,0,wander
3,614.639,0,0,wander
3,614.627,0,0,wander
3,614.617,0,0,wander
3,614.606,0,0,wander
3,614.594,0,0,wander
3,614.584,0,0,wander
3,614.574,0,0,wander
3,614.561,0,0,wander
3,614.547,0,0,wander
3,614.534,0,0,wander
3,614.52,0,0,wander
3,614.508,0,0,wander
3,614.495,0,0,wander
3,614.475,0,0,wander
3,614.455,0,0,wander
3,614.441,0,0,wander
3,614.424,0,0,wander
3,614.407,0,0,wander
3,614.391,0,0,wander
3,614.371,0,0,wander
3,614.35,0,0,wander
3,614.332,0,0,wander
3,614.314,0,0,wander
3,614.294,0,0,wander
3,614.274,0,0,wander
3,614.251,0,0,wander
3,614.23,0,0,wander
3,614.204,0,0,wander
3,614.186,0,0,wander
3,614.163,0,0,wander
3,614.143,0,0,wander
3,614.121,0,0,wander
3,614.103,0,0,wander
3,614.085,0,0,wander
3,614.062,0,0,wander
3,614.042,0,0,wander
3,614.025,0,0,wander
3,614.005,0,0,wander
3,613.984,0,0,wander
3,613.963,0,0,wander
3,613.939,0,0,wander
3,613.914,0,0,wander
3,613.88,0,0,wander
3,613.858,0,0,wander
3,613.835,0,0,wander
3,613.815,0,0,wander
3,613.774,0,0,wander
3,613.753,0,0,wander
3,613.733,0,0,wander
3,613.706,0,0,wander
3,613.674,0,0,wander
3,613.648,0,0,wander
3,613.615,0,0,wander
3,613.585,0,0,wander
3,613.556,0,0,wander
3,613.53,0,0,wander
3,613.505,0,0,wander
3,613.461,0,0,wander
3,613.433,0,0,wander
3,613.407,0,0,wander
3,613.373,0,0,wander
3,613.34,0,0,wander
3,613.31,0,0,wander
3,613.282,0,0,wander
3,613.256,0,0,wander
3,613.227,0,0,wander
3,613.201,0,0,wander
3,613.173,0,0,wander
3,613.137,0,0,wander
3,613.107,0,0,wander
3,613.079,0,0,wander
3,613.042,0,0,wander
3,613.007,0,0,wander
3,612.969,0,0,wander
3,612.937,0,0,wander
3,612.907,0,0,wander
3,612.872,0,0,wander
3,612.842,0,0,wander
3,612.812,0,0,wander
3,612.779,0,0,wander
3,612.743,0,0,wander
3,612.693,0,0,wander
3,612.65,0,0,wander
3,612.602,0,0,wander
3,612.565,0,0,wander
3,612.523,0,0,wander
3,612.489,0,0,wander
3,612.454,0,0,wander
3,612.414,0,0,wander
3,612.369,0,0,wander
3,612.334,0,0,wander
3,612.286,0,0,wander
3,612.251,0,0,wander
3,612.217,0,0,wander
3,612.183,0,0,wander
3,612.145,0,0,wander
3,612.09,0,0,wander
3,612.044,0,0,wander
3,612.007,0,0,wander
3,611.963,0,0,wander
3,611.926,0,0,wander
3,611.887,0,0,wander
3,611.845,0,0,wander
3,611.801,0,0,wander
3,611.765,0,0,wander
3,611.729,0,0,wander
3,611.688,0,0,wander
3,611.643,0,0,wander
3,611.606,0,0,wander
3,611.564,0,0,wander
3,611.519,0,0,wander
3,611.481,0,0,wander
3,611.442,0,0,wander
3,611.403,0,0,wander
3,611.367,0,0,wander
3,611.327,0,0,wander
3,611.269,0,0,wander
3,611.219,0,0,wander
3,611.149,0,0,wander
3,611.083,0,0,wander
3,611.04,0,0,wander
3,610.989,0,0,wander
3,610.937,0,0,wander
3,610.885,0,0,wander
3,610.825,0,0,wander
3,610.765,0,0,wander
3,610.703,0,0,wander
3,610.644,0,0,wander
3,610.587,0,0,wander
3,610.529,0,0,wander
3,610.48,0,0,wander
3,610.432,0,0,wander
3,610.362,0,0,wander
3,610.309,0,0,wander
3,610.263,0,0,wander
3,610.206,0,0,wander
3,610.151,0,0,wander
3,610.098,0,0,wander
3,610.042,0,0,wander
3,609.98,0,0,wander
3,609.933,0,0,wander
3,609.887,0,0,wander
3,609.839,0,0,wander
3,609.777,0,0,wander
3,609.718,0,0,wander
3,609.65,0,0,wander
3,609.584,0,0,wander
3,609.523,0,0,wander
3,609.457,0,0,wander
3,609.397,0,0,wander
3,609.324,0,0,wander
3,609.26,0,0,wander
3,609.203,0,0,wander
3,609.134,0,0,wander
3,609.08,0,0,wander
3,609.018,0,0,wander
3,608.947,0,0,wander
3,608.89,0,0,wander
3,608.841,0,0,wander
3,608.797,0,0,wander
3,608.744,0,0,wander
3,608.685,0,0,wander
3,608.633,0,0,wander
3,608.592,0,0,wander
3,608.533,0,0,wander
3,608.477,0,0,wander
3,608.43,0,0,wander
3,608.378,0,0,wander
3,608.317,0,0,wander
3,608.251,0,0,wander
3,608.197,0,0,wander
3,608.148,0,0,wander
3,608.086,0,0,wander
3,608.021,0,0,wander
3,607.962,0,0,wander
3,607.911,0,0,wander
3,607.839,0,0,wander
3,607.78,0,0,wander
3,607.731,0,0,wander
3,607.682,0,0,wander
3,607.625,0,0,wander
3,607.553,0,0,wander
3,607.488,0,0,wander
3,607.428,0,0,wander
3,607.367,0,0,wander
3,607.309,0,0,wander
3,607.248,0,0,wander
3,607.189,0,0,wander
3,607.127,0,0,wander
3,607.072,0,0,wander
3,607.014,0,0,wander
3,606.945,0,0,wander
3,606.873,0,0,wander
3,606.812,0,0,wander
3,606.751,0,0,wander
3,606.698,0,0,wander
3,606.644,0,0,wander
3,606.591,0,0,wander
3,606.53,0,0,wander
3,606.461,0,0,wander
3,606.367,0,0,wander
3,606.301,0,0,wander
3,606.244,0,0,wander
3,606.188,0,0,wander
3,606.127,0,0,wander
3,606.069,0,0,wander
3,606,0,0,wander
3,605.925,0,0,wander
3,605.873,0,0,wander
3,605.82,0,0,wander
3,605.767,0,0,wander
3,605.715,0,0,wander
3,605.648,0,0,wander
3,605.591,0,0,wander
3,605.528,0,0,wander
3,605.443,0,0,wander
3,605.382,0,0,wander
3,605.32,0,0,wander
3,605.268,0,0,wander
3,605.201,0,0,wander
3,605.129,0,0,wander
3,605.059,0,0,wander
3,604.998,0,0,wander
3,604.928,0,0,wander
3,604.864,0,0,wander
3,604.809,0,0,wander
3,604.75,0,0,wander
3,604.692,0,0,wander
3,604.622,0,0,wander
3,604.542,0,0,wander
3,604.47,0,0,wander
3,604.415,0,0,wander
3,604.361,0,0,wander
3,604.304,0,0,wander
3,604.249,0,0,wander
3,604.177,0,0,wander
3,604.112,0,0,wander
3,604.051,0,0,wander
3,603.978,0,0,wander
3,603.911,0,0,wander
3,603.851,0,0,wander
3,603.792,0,0,wander
3,603.74,0,0,wander
3,603.668,0,0,wander
3,603.598,0,0,wander
3,603.519,0,0,wander
3,603.449,0,0,wander
3,603.388,0,0,wander
3,603.332,0,0,wander
3,603.279,0,0,wander
3,603.215,0,0,wander
